"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.gpu","skilled-firefly-1 - system/gpu.0.gpu__MIN","skilled-firefly-1 - system/gpu.0.gpu__MAX"
"17.099742","63","63","63"
"17.099742774","63","63","63"
"32.098432","97","97","97"
"32.0984327","97","97","97"
"47.101266","96","96","96"
"47.101266996","96","96","96"
"62.099535","63","63","63"
"62.09953554","63","63","63"
"77.099705","65","65","65"
"92.099834","93","93","93"
"92.099834269","93","93","93"
"107.099418","99","99","99"
"122.099755","95","95","95"
"122.099755286","95","95","95"
"137.099817","59","59","59"
"152.099474","99","99","99"
"167.099496","96","96","96"
"167.099496959","96","96","96"
"182.099429","73","73","73"
"182.099429254","73","73","73"
"197.098616","95","95","95"
"197.098616906","95","95","95"
"212.09952","96","96","96"
"212.09952065","96","96","96"
"227.099694","58","58","58"
"227.09969456","58","58","58"
"242.100449","88","88","88"
"242.100449225","88","88","88"
"257.09987","85","85","85"
"257.099870955","85","85","85"
"272.099128","99","99","99"
"272.099128522","99","99","99"
"287.099883","94","94","94"
"287.099883927","94","94","94"
"302.099076","76","76","76"
"302.09907682","76","76","76"
"317.099317","99","99","99"
"317.099317236","99","99","99"
"332.100144","96","96","96"
"332.100144966","96","96","96"
"347.099609","90","90","90"
"347.0996095","90","90","90"
"362.099864","99","99","99"
"362.099864285","99","99","99"
"377.099629","75","75","75"
"377.099629955","75","75","75"
"392.098527","88","88","88"
"392.098527104","88","88","88"
"407.100818","63","63","63"
"407.100818991","63","63","63"
"422.099363","99","99","99"
"422.099363241","99","99","99"
"437.101107","99","99","99"
"437.101107885","99","99","99"
"452.098774","96","96","96"
"452.098774362","96","96","96"
"467.099677","96","96","96"
"482.100144","51","51","51"
"482.100144838","51","51","51"
"497.100424","75","75","75"
"497.100424344","75","75","75"
"512.099458","99","99","99"
"512.099458673","99","99","99"
"527.098639","96","96","96"
"527.098639305","96","96","96"
"542.100354","86","86","86"
"542.100354708","86","86","86"
"557.099698","99","99","99"
"557.099698614","99","99","99"
"572.099923","87","87","87"
"572.099923123","87","87","87"
"587.099646","98","98","98"
"602.100699","77","77","77"
"602.100699306","77","77","77"
"617.10019","78","78","78"
"617.100190814","78","78","78"
"632.099845","99","99","99"
"632.099845363","99","99","99"
"647.099605","99","99","99"
"647.099605914","99","99","99"
"662.100389","83","83","83"
"677.100028","62","62","62"
"677.100028964","62","62","62"
"692.101098","99","99","99"
"692.101098808","99","99","99"
"707.099724","97","97","97"
"707.099724269","97","97","97"
"722.099877","96","96","96"
"722.099877609","96","96","96"
"737.098599","96","96","96"
"737.098599453","96","96","96"
"752.099994","64","64","64"
"752.099994422","64","64","64"
"767.100605","68","68","68"
"767.100605856","68","68","68"
"782.099825","99","99","99"
"782.09982524","99","99","99"
"797.099722","96","96","96"
"797.099722332","96","96","96"
"812.100245","62","62","62"
"812.10024577","62","62","62"
"827.099727","99","99","99"
"827.099727827","99","99","99"
"842.099201","96","96","96"
"842.09920112","96","96","96"
"857.099679","59","59","59"
"857.099679652","59","59","59"
"872.099969","99","99","99"
"872.099969051","99","99","99"
"887.100249","96","96","96"
"887.100249887","96","96","96"
"902.099248","96","96","96"
"902.099248366","96","96","96"
"917.100459","65","65","65"
"932.099216","99","99","99"
"932.099216177","99","99","99"
"947.09934","93","93","93"
"947.099340674","93","93","93"
"962.100109","80","80","80"
"962.100109731","80","80","80"
"977.100289","63","63","63"
"977.10028966","63","63","63"
"992.099762","99","99","99"
"992.099762442","99","99","99"
"1007.100567","96","96","96"
"1007.100567433","96","96","96"
"1022.099888","58","58","58"
"1022.099888751","58","58","58"
"1037.099812","99","99","99"
"1037.099812163","99","99","99"
"1052.098507","96","96","96"
"1052.098507154","96","96","96"
"1067.099152","96","96","96"
"1082.099661","61","61","61"
"1097.099615","90","90","90"
"1097.099615278","90","90","90"
"1112.099447","96","96","96"
"1112.099447983","96","96","96"
"1127.100264","74","74","74"
"1127.100264805","74","74","74"
"1142.0998","99","99","99"
"1142.099800611","99","99","99"
"1157.099544","96","96","96"
"1172.099682","63","63","63"
"1172.099682664","63","63","63"
"1187.09937","99","99","99"
"1187.099370185","99","99","99"
"1202.099095","94","94","94"
"1202.099095357","94","94","94"
"1217.098609","61","61","61"
"1217.098609327","61","61","61"
"1232.100634","96","96","96"
"1232.100634776","96","96","96"
"1247.098484","61","61","61"
"1247.098484179","61","61","61"
"1262.09958","99","99","99"
"1262.099580686","99","99","99"
"1277.099695","95","95","95"
"1277.099695217","95","95","95"
"1292.098227","56","56","56"
"1292.098227379","56","56","56"
"1307.100387","99","99","99"
"1307.100387285","99","99","99"
"1322.100982","96","96","96"
"1322.100982266","96","96","96"
"1337.09978","83","83","83"
"1337.099780823","83","83","83"
"1352.099146","99","99","99"
"1352.099146375","99","99","99"
"1367.100683","96","96","96"
"1367.10068355","96","96","96"
"1382.099293","79","79","79"
"1382.099293787","79","79","79"
"1397.098703","61","61","61"
"1412.100021","99","99","99"
"1427.100479","99","99","99"
"1442.099796","95","95","95"
"1442.099796689","95","95","95"
"1457.099143","91","91","91"
"1472.09858","61","61","61"
"1472.098580912","61","61","61"
"1487.100673","96","96","96"
"1487.100673223","96","96","96"
"1502.099857","99","99","99"
"1502.099857478","99","99","99"
