"epoch","final_final-v0 - train_loss_epoch","final_final-v0 - train_loss_epoch__MIN","final_final-v0 - train_loss_epoch__MAX","final_final-v0 - _step","final_final-v0 - _step__MIN","final_final-v0 - _step__MAX"
"0","1.318803071975708","1.318803071975708","1.318803071975708","9","9","9"
"1","1.0879409313201904","1.0879409313201904","1.0879409313201904","20","20","20"
"2","1.0301462411880493","1.0301462411880493","1.0301462411880493","31","31","31"
"3","0.9884512424468994","0.9884512424468994","0.9884512424468994","42","42","42"
"4","0.9683309197425842","0.9683309197425842","0.9683309197425842","53","53","53"
"5","0.9560115337371826","0.9560115337371826","0.9560115337371826","64","64","64"
"6","0.9308961629867554","0.9308961629867554","0.9308961629867554","75","75","75"
"7","0.9157758951187134","0.9157758951187134","0.9157758951187134","85","85","85"
"8","0.8952510356903076","0.8952510356903076","0.8952510356903076","96","96","96"
"9","0.893491268157959","0.893491268157959","0.893491268157959","107","107","107"
"10","0.8819404244422913","0.8819404244422913","0.8819404244422913","118","118","118"
"11","0.8761940598487854","0.8761940598487854","0.8761940598487854","129","129","129"
"12","0.8649119734764099","0.8649119734764099","0.8649119734764099","140","140","140"
"13","0.8592721223831177","0.8592721223831177","0.8592721223831177","151","151","151"
"14","0.8562161922454834","0.8562161922454834","0.8562161922454834","161","161","161"
"15","0.8594762086868286","0.8594762086868286","0.8594762086868286","172","172","172"
"16","0.8528066277503967","0.8528066277503967","0.8528066277503967","183","183","183"
"17","0.8430746793746948","0.8430746793746948","0.8430746793746948","194","194","194"
"18","0.8463738560676575","0.8463738560676575","0.8463738560676575","205","205","205"
"19","0.8381144404411316","0.8381144404411316","0.8381144404411316","216","216","216"
"20","0.837309718132019","0.837309718132019","0.837309718132019","227","227","227"
"21","0.8380929827690125","0.8380929827690125","0.8380929827690125","237","237","237"
"22","0.8319388031959534","0.8319388031959534","0.8319388031959534","248","248","248"
"23","0.8393083810806274","0.8393083810806274","0.8393083810806274","259","259","259"
"24","0.8324429392814636","0.8324429392814636","0.8324429392814636","270","270","270"
"25","0.8330515027046204","0.8330515027046204","0.8330515027046204","281","281","281"
"26","0.8358392119407654","0.8358392119407654","0.8358392119407654","292","292","292"
"27","0.8318963050842285","0.8318963050842285","0.8318963050842285","303","303","303"
"28","0.8307465314865112","0.8307465314865112","0.8307465314865112","313","313","313"
"29","0.8239580988883972","0.8239580988883972","0.8239580988883972","324","324","324"
"30","0.8156431317329407","0.8156431317329407","0.8156431317329407","335","335","335"
"31","0.8186607360839844","0.8186607360839844","0.8186607360839844","346","346","346"
"32","0.8262176513671875","0.8262176513671875","0.8262176513671875","357","357","357"
"33","0.8201754689216614","0.8201754689216614","0.8201754689216614","368","368","368"
"34","0.8214154243469238","0.8214154243469238","0.8214154243469238","379","379","379"
"35","0.8233550786972046","0.8233550786972046","0.8233550786972046","389","389","389"
"36","0.8168525695800781","0.8168525695800781","0.8168525695800781","400","400","400"
"37","0.8236854076385498","0.8236854076385498","0.8236854076385498","411","411","411"
"38","0.8179064989089966","0.8179064989089966","0.8179064989089966","422","422","422"
"39","0.8160049915313721","0.8160049915313721","0.8160049915313721","433","433","433"
"40","0.8106105327606201","0.8106105327606201","0.8106105327606201","444","444","444"
"41","0.8170913457870483","0.8170913457870483","0.8170913457870483","455","455","455"
"42","0.8126243352890015","0.8126243352890015","0.8126243352890015","465","465","465"
"43","0.8071821331977844","0.8071821331977844","0.8071821331977844","476","476","476"
"44","0.8074247241020203","0.8074247241020203","0.8074247241020203","487","487","487"
"45","0.807449221611023","0.807449221611023","0.807449221611023","498","498","498"
"46","0.8090500831604004","0.8090500831604004","0.8090500831604004","509","509","509"
"47","0.8072009086608887","0.8072009086608887","0.8072009086608887","520","520","520"
"48","0.8085695505142212","0.8085695505142212","0.8085695505142212","531","531","531"
"49","0.8067179322242737","0.8067179322242737","0.8067179322242737","542","542","542"
"50","0.8056134581565857","0.8056134581565857","0.8056134581565857","552","552","552"
"51","0.8017668724060059","0.8017668724060059","0.8017668724060059","563","563","563"
"52","0.8160233497619629","0.8160233497619629","0.8160233497619629","574","574","574"
"53","0.8089820742607117","0.8089820742607117","0.8089820742607117","585","585","585"
"54","0.8108588457107544","0.8108588457107544","0.8108588457107544","596","596","596"
"55","0.8072986602783203","0.8072986602783203","0.8072986602783203","607","607","607"
"56","0.8041800260543823","0.8041800260543823","0.8041800260543823","618","618","618"
"57","0.8079007267951965","0.8079007267951965","0.8079007267951965","628","628","628"
"58","0.8082070350646973","0.8082070350646973","0.8082070350646973","639","639","639"
"59","0.805882453918457","0.805882453918457","0.805882453918457","650","650","650"
"60","0.8031161427497864","0.8031161427497864","0.8031161427497864","661","661","661"
"61","0.8048604726791382","0.8048604726791382","0.8048604726791382","672","672","672"
"62","0.7974705100059509","0.7974705100059509","0.7974705100059509","683","683","683"
"63","0.8042557239532471","0.8042557239532471","0.8042557239532471","694","694","694"
"64","0.7988799810409546","0.7988799810409546","0.7988799810409546","704","704","704"
"65","0.8012837171554565","0.8012837171554565","0.8012837171554565","715","715","715"
"66","0.803371012210846","0.803371012210846","0.803371012210846","726","726","726"
"67","0.7983571290969849","0.7983571290969849","0.7983571290969849","737","737","737"
"68","0.7998865246772766","0.7998865246772766","0.7998865246772766","748","748","748"
"69","0.7999320030212402","0.7999320030212402","0.7999320030212402","759","759","759"
"70","0.7972944378852844","0.7972944378852844","0.7972944378852844","770","770","770"
"71","0.8021941781044006","0.8021941781044006","0.8021941781044006","780","780","780"
"72","0.7944129109382629","0.7944129109382629","0.7944129109382629","791","791","791"
"73","0.8082858920097351","0.8082858920097351","0.8082858920097351","802","802","802"
"74","0.8047970533370972","0.8047970533370972","0.8047970533370972","813","813","813"
"75","0.7938083410263062","0.7938083410263062","0.7938083410263062","824","824","824"
"76","0.7969723343849182","0.7969723343849182","0.7969723343849182","835","835","835"
"77","0.7998129725456238","0.7998129725456238","0.7998129725456238","846","846","846"
"78","0.802455484867096","0.802455484867096","0.802455484867096","856","856","856"
"79","0.7979007363319397","0.7979007363319397","0.7979007363319397","867","867","867"
"80","0.8017970323562622","0.8017970323562622","0.8017970323562622","878","878","878"
"81","0.7980161905288696","0.7980161905288696","0.7980161905288696","889","889","889"
"82","0.7975813150405884","0.7975813150405884","0.7975813150405884","900","900","900"
"83","0.8115347623825073","0.8115347623825073","0.8115347623825073","911","911","911"
"84","0.8003313541412354","0.8003313541412354","0.8003313541412354","922","922","922"
"85","0.8004944324493408","0.8004944324493408","0.8004944324493408","932","932","932"
"86","0.7884058356285095","0.7884058356285095","0.7884058356285095","943","943","943"
