"Relative Time (Process)","final_final-v0 - system/gpu.0.gpu","final_final-v0 - system/gpu.0.gpu__MIN","final_final-v0 - system/gpu.0.gpu__MAX"
"16.856053503","97","97","97"
"21.312798497","99","99","99"
"31.857150154","77","77","77"
"36.313089393","89","89","89"
"46.856426998","89","89","89"
"51.312355326","64","64","64"
"61.855404246","99","99","99"
"66.31352261","80","80","80"
"76.854892586","68","68","68"
"81.312853604","97","97","97"
"91.855143609","98","98","98"
"96.312755925","97","97","97"
"106.855672776","65","65","65"
"111.313378406","97","97","97"
"121.855317221","96","96","96"
"126.312962525","96","96","96"
"136.855870757","79","79","79"
"141.311417783","99","99","99"
"151.854612831","98","98","98"
"156.312946141","97","97","97"
"166.854291914","65","65","65"
"171.313404035","99","99","99"
"181.85678533","79","79","79"
"186.314037155","97","97","97"
"196.854505626","68","68","68"
"201.31384836","99","99","99"
"211.854676531","98","98","98"
"216.313297552","99","99","99"
"226.855172314","79","79","79"
"231.312985436","85","85","85"
"241.855883198","96","96","96"
"246.313656274","63","63","63"
"256.856531578","97","97","97"
"261.312240407","85","85","85"
"271.855188477","67","67","67"
"276.3129097","96","96","96"
"286.854833548","96","96","96"
"291.312722121","99","99","99"
"301.85571119","66","66","66"
"306.311704895","99","99","99"
"316.856251973","98","98","98"
"321.313405646","70","70","70"
"331.854947587","82","82","82"
"336.311709662","79","79","79"
"346.854982882","84","84","84"
"351.31218478","97","97","97"
"361.855933721","80","80","80"
"366.312816337","99","99","99"
"376.854229891","99","99","99"
"381.312813001","62","62","62"
"391.855419708","68","68","68"
"396.313072411","69","69","69"
"406.85529973","98","98","98"
"411.313125268","89","89","89"
"421.855388701","77","77","77"
"426.312691594","79","79","79"
"436.855400757","98","98","98"
"441.312432954","63","63","63"
"451.854481791","99","99","99"
"456.313188775","91","91","91"
"466.854665988","68","68","68"
"471.313769756","97","97","97"
"481.856000819","98","98","98"
"486.312463926","97","97","97"
"496.85615862","75","75","75"
"501.313283688","99","99","99"
"511.856133121","93","93","93"
"516.312754494","99","99","99"
"526.855433602","99","99","99"
"531.312848073","81","81","81"
"541.856062589","68","68","68"
"546.31276948","63","63","63"
"556.855267035","98","98","98"
"561.313483927","69","69","69"
"571.855796699","89","89","89"
"576.313735617","99","99","99"
"586.856731798","98","98","98"
"591.312961563","99","99","99"
"601.855840942","99","99","99"
"606.312824586","87","87","87"
"616.855427237","73","73","73"
"621.313863634","63","63","63"
"631.854223506","99","99","99"
"636.312882616","80","80","80"
"646.854601186","83","83","83"
"651.31356328","99","99","99"
"661.854263579","99","99","99"
"666.312437291","67","67","67"
"676.855592133","67","67","67"
"681.313970745","97","97","97"
"691.854757753","99","99","99"
"696.313200478","97","97","97"
"706.855409135","83","83","83"
"711.31476453","90","90","90"
"721.85649724","99","99","99"
"726.312295954","98","98","98"
"736.855260545","69","69","69"
"741.313395603","97","97","97"
"751.85584324","97","97","97"
"756.312527467","84","84","84"
"766.856129372","98","98","98"
"771.312739549","72","72","72"
"781.855472046","68","68","68"
"786.313006828","97","97","97"
"796.855951976","99","99","99"
"801.313285884","99","99","99"
"811.856274623","71","71","71"
"816.312780838","62","62","62"
"826.855574564","99","99","99"
"831.31270545","97","97","97"
"841.855232769","86","86","86"
"846.31263633","65","65","65"
"856.854271553","99","99","99"
"861.313230054","66","66","66"
"871.854958522","87","87","87"
"876.312971049","93","93","93"
"886.854949768","99","99","99"
"891.313091314","96","96","96"
"901.856745681","93","93","93"
"906.312075328","97","97","97"
"916.855676704","99","99","99"
"921.313527011","99","99","99"
"931.856556996","95","95","95"
"936.312458885","84","84","84"
"946.855085863","99","99","99"
"951.312737878","69","69","69"
"961.855393445","97","97","97"
"966.314494821","98","98","98"
"976.856396083","83","83","83"
"981.315313249","97","97","97"
"991.855961621","98","98","98"
"996.313416962","97","97","97"
"1006.855689836","68","68","68"
"1011.312305418","64","64","64"
"1021.855718924","72","72","72"
"1026.312826394","71","71","71"
"1036.855140178","99","99","99"
"1041.313474815","63","63","63"
"1051.855932627","77","77","77"
"1056.31324933","97","97","97"
"1066.854682918","99","99","99"
"1071.313290919","96","96","96"
"1081.856136137","67","67","67"
"1086.313386453","97","97","97"
"1096.855011161","98","98","98"
"1101.313115379","99","99","99"
"1111.8568966","59","59","59"
"1116.313077505","99","99","99"
"1126.856257918","98","98","98"
"1131.31345415","70","70","70"
"1141.85608869","82","82","82"
"1146.312615839","84","84","84"
"1156.855351943","99","99","99"
"1161.313730963","99","99","99"
"1171.855686633","99","99","99"
"1176.312570297","96","96","96"
"1186.854042808","99","99","99"
"1191.31307919","82","82","82"
"1201.855164168","99","99","99"
"1206.313063753","94","94","94"
"1216.855100483","68","68","68"
"1221.312787329","74","74","74"
"1231.855728463","97","97","97"
"1236.312545698","97","97","97"
"1246.855282702","97","97","97"
"1251.313464206","99","99","99"
"1261.855443738","98","98","98"
"1266.312549597","97","97","97"
"1276.855246374","99","99","99"
"1281.313158754","99","99","99"
"1291.855186843","75","75","75"
"1296.313061355","99","99","99"
"1306.855988912","99","99","99"
"1311.312665845","99","99","99"
"1321.854805737","74","74","74"
"1326.31260393","64","64","64"
"1336.855560488","98","98","98"
"1341.313808107","64","64","64"
"1351.85540953","75","75","75"
"1356.311231932","73","73","73"
"1366.855120697","98","98","98"
"1371.312285932","86","86","86"
"1381.854225138","99","99","99"
"1386.311892749","99","99","99"
"1396.855398901","94","94","94"
"1401.312610248","97","97","97"
"1411.855132671","99","99","99"
"1416.313613996","97","97","97"
"1426.856165516","68","68","68"
"1431.313783687","63","63","63"
"1441.857048001","73","73","73"
"1446.31295389","64","64","64"
"1456.855688733","98","98","98"
"1461.314492927","64","64","64"
"1471.855049621","70","70","70"
"1476.314849968","97","97","97"
"1486.855274851","99","99","99"
"1491.312640314","98","98","98"
"1501.855813134","68","68","68"
"1506.313190269","99","99","99"
"1516.855498392","97","97","97"
"1521.313737564","99","99","99"
"1531.85616589","71","71","71"
"1536.313546585","94","94","94"
"1546.85470496","98","98","98"
"1551.313202857","66","66","66"
"1561.855353323","90","90","90"
"1566.312030421","86","86","86"
"1576.854894801","98","98","98"
"1581.313373085","98","98","98"
"1591.85624672","99","99","99"
"1596.312858897","97","97","97"
"1606.855313734","98","98","98"
"1611.313585381","99","99","99"
"1621.855504541","68","68","68"
"1626.313138545","77","77","77"
"1636.855208874","98","98","98"
"1641.312418505","63","63","63"
"1651.855158287","99","99","99"
"1656.312361728","97","97","97"
