"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"16.856053503","27577745408","27577745408","27577745408"
"21.312798497","27825209344","27825209344","27825209344"
"31.857150154","27577745408","27577745408","27577745408"
"36.313089393","27825209344","27825209344","27825209344"
"46.856426998","27577745408","27577745408","27577745408"
"51.312355326","27825209344","27825209344","27825209344"
"61.855404246","27577745408","27577745408","27577745408"
"66.31352261","27825209344","27825209344","27825209344"
"76.854892586","27577745408","27577745408","27577745408"
"81.312853604","27825209344","27825209344","27825209344"
"91.855143609","27577745408","27577745408","27577745408"
"96.312755925","27825209344","27825209344","27825209344"
"106.855672776","27577745408","27577745408","27577745408"
"111.313378406","27825209344","27825209344","27825209344"
"121.855317221","27577745408","27577745408","27577745408"
"126.312962525","27825209344","27825209344","27825209344"
"136.855870757","27577745408","27577745408","27577745408"
"141.311417783","27825209344","27825209344","27825209344"
"151.854612831","27577745408","27577745408","27577745408"
"156.312946141","27825209344","27825209344","27825209344"
"166.854291914","27577745408","27577745408","27577745408"
"171.313404035","27825209344","27825209344","27825209344"
"181.85678533","27577745408","27577745408","27577745408"
"186.314037155","27825209344","27825209344","27825209344"
"196.854505626","27577745408","27577745408","27577745408"
"201.31384836","27825209344","27825209344","27825209344"
"211.854676531","27577745408","27577745408","27577745408"
"216.313297552","27825209344","27825209344","27825209344"
"226.855172314","27577745408","27577745408","27577745408"
"231.312985436","27825209344","27825209344","27825209344"
"241.855883198","27577745408","27577745408","27577745408"
"246.313656274","27825209344","27825209344","27825209344"
"256.856531578","27577745408","27577745408","27577745408"
"261.312240407","27825209344","27825209344","27825209344"
"271.855188477","27577745408","27577745408","27577745408"
"276.3129097","27825209344","27825209344","27825209344"
"286.854833548","27577745408","27577745408","27577745408"
"291.312722121","27825209344","27825209344","27825209344"
"301.85571119","27577745408","27577745408","27577745408"
"306.311704895","27825209344","27825209344","27825209344"
"316.856251973","27577745408","27577745408","27577745408"
"321.313405646","27825209344","27825209344","27825209344"
"331.854947587","27577745408","27577745408","27577745408"
"336.311709662","27825209344","27825209344","27825209344"
"346.854982882","27577745408","27577745408","27577745408"
"351.31218478","27825209344","27825209344","27825209344"
"361.855933721","27577745408","27577745408","27577745408"
"366.312816337","27825209344","27825209344","27825209344"
"376.854229891","27577745408","27577745408","27577745408"
"381.312813001","27825209344","27825209344","27825209344"
"391.855419708","27577745408","27577745408","27577745408"
"396.313072411","27825209344","27825209344","27825209344"
"406.85529973","27577745408","27577745408","27577745408"
"411.313125268","27825209344","27825209344","27825209344"
"421.855388701","27577745408","27577745408","27577745408"
"426.312691594","27825209344","27825209344","27825209344"
"436.855400757","27577745408","27577745408","27577745408"
"441.312432954","27825209344","27825209344","27825209344"
"451.854481791","27577745408","27577745408","27577745408"
"456.313188775","27825209344","27825209344","27825209344"
"466.854665988","27577745408","27577745408","27577745408"
"471.313769756","27825209344","27825209344","27825209344"
"481.856000819","27577745408","27577745408","27577745408"
"486.312463926","27825209344","27825209344","27825209344"
"496.85615862","27577745408","27577745408","27577745408"
"501.313283688","27825209344","27825209344","27825209344"
"511.856133121","27577745408","27577745408","27577745408"
"516.312754494","27825209344","27825209344","27825209344"
"526.855433602","27577745408","27577745408","27577745408"
"531.312848073","27825209344","27825209344","27825209344"
"541.856062589","27577745408","27577745408","27577745408"
"546.31276948","27825209344","27825209344","27825209344"
"556.855267035","27577745408","27577745408","27577745408"
"561.313483927","27825209344","27825209344","27825209344"
"571.855796699","27577745408","27577745408","27577745408"
"576.313735617","27825209344","27825209344","27825209344"
"586.856731798","27577745408","27577745408","27577745408"
"591.312961563","27825209344","27825209344","27825209344"
"601.855840942","27577745408","27577745408","27577745408"
"606.312824586","27825209344","27825209344","27825209344"
"616.855427237","27577745408","27577745408","27577745408"
"621.313863634","27825209344","27825209344","27825209344"
"631.854223506","27577745408","27577745408","27577745408"
"636.312882616","27825209344","27825209344","27825209344"
"646.854601186","27577745408","27577745408","27577745408"
