"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"0","1.4828802347183228","1.4828802347183228","1.4828802347183228","9","9","9"
"1","1.2984668016433716","1.2984668016433716","1.2984668016433716","20","20","20"
"2","1.229092001914978","1.229092001914978","1.229092001914978","31","31","31"
"3","1.1745736598968506","1.1745736598968506","1.1745736598968506","42","42","42"
"4","1.1543524265289307","1.1543524265289307","1.1543524265289307","53","53","53"
"5","1.1374788284301758","1.1374788284301758","1.1374788284301758","64","64","64"
"6","1.1177237033843994","1.1177237033843994","1.1177237033843994","75","75","75"
"7","1.0979288816452026","1.0979288816452026","1.0979288816452026","85","85","85"
"8","1.0808582305908203","1.0808582305908203","1.0808582305908203","96","96","96"
"9","1.0729721784591675","1.0729721784591675","1.0729721784591675","107","107","107"
"10","1.064029574394226","1.064029574394226","1.064029574394226","118","118","118"
"11","1.0557631254196167","1.0557631254196167","1.0557631254196167","129","129","129"
"12","1.040540337562561","1.040540337562561","1.040540337562561","140","140","140"
"13","1.0335696935653687","1.0335696935653687","1.0335696935653687","151","151","151"
"14","1.0299065113067627","1.0299065113067627","1.0299065113067627","161","161","161"
"15","1.0279470682144165","1.0279470682144165","1.0279470682144165","172","172","172"
"16","1.0169776678085327","1.0169776678085327","1.0169776678085327","183","183","183"
"17","1.0061403512954712","1.0061403512954712","1.0061403512954712","194","194","194"
"18","1.0071786642074585","1.0071786642074585","1.0071786642074585","205","205","205"
"19","0.9953888058662415","0.9953888058662415","0.9953888058662415","216","216","216"
"20","0.994490921497345","0.994490921497345","0.994490921497345","227","227","227"
"21","0.9898199439048767","0.9898199439048767","0.9898199439048767","237","237","237"
"22","0.9792824983596802","0.9792824983596802","0.9792824983596802","248","248","248"
"23","0.9844996929168701","0.9844996929168701","0.9844996929168701","259","259","259"
"24","0.9818427562713623","0.9818427562713623","0.9818427562713623","270","270","270"
"25","0.9779573678970337","0.9779573678970337","0.9779573678970337","281","281","281"
"26","0.9776347875595093","0.9776347875595093","0.9776347875595093","292","292","292"
"27","0.9750834107398987","0.9750834107398987","0.9750834107398987","303","303","303"
"28","0.9731076955795288","0.9731076955795288","0.9731076955795288","313","313","313"
"29","0.9649455547332764","0.9649455547332764","0.9649455547332764","324","324","324"
"30","0.9560715556144714","0.9560715556144714","0.9560715556144714","335","335","335"
"31","0.9545778036117554","0.9545778036117554","0.9545778036117554","346","346","346"
"32","0.9635885953903198","0.9635885953903198","0.9635885953903198","357","357","357"
"33","0.9521235227584839","0.9521235227584839","0.9521235227584839","368","368","368"
"34","0.9522407650947571","0.9522407650947571","0.9522407650947571","379","379","379"
"35","0.9523020386695862","0.9523020386695862","0.9523020386695862","389","389","389"
"36","0.9475204348564148","0.9475204348564148","0.9475204348564148","400","400","400"
"37","0.952143669128418","0.952143669128418","0.952143669128418","411","411","411"
"38","0.9439733028411865","0.9439733028411865","0.9439733028411865","422","422","422"
"39","0.9443019032478333","0.9443019032478333","0.9443019032478333","433","433","433"
"40","0.9367976188659668","0.9367976188659668","0.9367976188659668","444","444","444"
"41","0.9448304772377014","0.9448304772377014","0.9448304772377014","455","455","455"
"42","0.9324194192886353","0.9324194192886353","0.9324194192886353","465","465","465"
"43","0.9301254749298096","0.9301254749298096","0.9301254749298096","476","476","476"
"44","0.9282684326171875","0.9282684326171875","0.9282684326171875","487","487","487"
"45","0.9304563403129578","0.9304563403129578","0.9304563403129578","498","498","498"
"46","0.9296246767044067","0.9296246767044067","0.9296246767044067","509","509","509"
