"Relative Time (Process)","onFlashIPA_v0 - system/gpu.0.gpu","onFlashIPA_v0 - system/gpu.0.gpu__MIN","onFlashIPA_v0 - system/gpu.0.gpu__MAX"
"16.938859456","21","21","21"
"31.938371554","14","14","14"
"46.938298218","14","14","14"
"61.938420641","15","15","15"
"76.938903096","15","15","15"
"91.9386898","15","15","15"
"106.938833759","15","15","15"
"121.938500476","14","14","14"
"136.937948108","10","10","10"
"151.938166809","14","14","14"
"166.938824672","15","15","15"
"181.938149678","15","15","15"
"196.938735639","18","18","18"
"211.938521235","14","14","14"
"226.937909519","16","16","16"
"241.938006067","19","19","19"
"256.938401525","18","18","18"
"271.938856649","14","14","14"
"286.938120074","14","14","14"
"301.938270384","14","14","14"
"316.938399008","14","14","14"
"331.938714906","14","14","14"
"346.938715471","14","14","14"
"361.93806389","14","14","14"
"376.937808939","15","15","15"
"391.937963681","15","15","15"
"406.938733756","13","13","13"
"421.938567659","15","15","15"
"436.938814038","14","14","14"
"451.938164109","12","12","12"
"466.938720749","14","14","14"
"481.938200672","15","15","15"
"496.938908049","11","11","11"
"511.938828922","16","16","16"
"526.938027231","13","13","13"
"541.938618538","14","14","14"
"556.938693034","15","15","15"
"571.93820067","15","15","15"
"586.937964908","15","15","15"
"601.9381035","16","16","16"
"616.9388156","15","15","15"
"631.938806059","14","14","14"
"646.938773034","14","14","14"
"661.938477648","15","15","15"
"676.938742503","12","12","12"
"691.938088264","15","15","15"
"706.938064851","14","14","14"
"721.93878304","13","13","13"
"736.938703655","15","15","15"
"751.938055987","16","16","16"
"766.938402629","13","13","13"
"781.938750119","15","15","15"
"796.938217857","14","14","14"
"811.938646962","13","13","13"
"826.938737402","15","15","15"
"841.938599818","11","11","11"
"856.938679825","15","15","15"
"871.93876991","15","15","15"
"886.938799782","14","14","14"
"901.938167617","14","14","14"
"916.938591056","13","13","13"
"931.938373293","17","17","17"
"946.938552044","11","11","11"
"961.938188569","14","14","14"
"976.937898048","14","14","14"
"991.938900179","15","15","15"
"1006.938886116","11","11","11"
"1021.938256209","16","16","16"
"1036.938310014","14","14","14"
"1051.938650107","15","15","15"
"1066.937914308","11","11","11"
"1081.938561271","15","15","15"
"1096.937946549","15","15","15"
"1111.938249816","16","16","16"
"1126.938547956","15","15","15"
"1141.938187796","15","15","15"
"1156.937920162","0","0","0"
"1171.938568659","14","14","14"
"1186.938292162","15","15","15"
"1201.938095505","15","15","15"
"1216.938270348","15","15","15"
"1231.937941218","14","14","14"
"1246.938704863","15","15","15"
"1261.938226849","16","16","16"
"1276.938758228","15","15","15"
"1291.938296812","14","14","14"
"1306.938733497","11","11","11"
"1321.938093152","15","15","15"
"1336.938249594","14","14","14"
"1351.938650105","15","15","15"
"1366.938182442","14","14","14"
"1381.938756393","14","14","14"
"1396.938831353","16","16","16"
"1411.937837676","16","16","16"
"1426.938274755","15","15","15"
"1441.938050389","14","14","14"
"1456.938593877","15","15","15"
"1471.938689725","15","15","15"
"1486.938120478","14","14","14"
"1501.938792516","15","15","15"
"1516.938009113","12","12","12"
"1531.938869544","16","16","16"
"1546.938784","14","14","14"
"1561.93786456","17","17","17"
"1576.938617309","15","15","15"
"1591.938152672","15","15","15"
"1606.93859924","15","15","15"
"1621.938059986","13","13","13"
"1636.938353669","15","15","15"
"1651.938788984","15","15","15"
"1666.938755914","14","14","14"
"1681.93818311","14","14","14"
"1696.938440948","16","16","16"
"1711.937997322","22","22","22"
"1726.938625368","16","16","16"
"1741.937832068","14","14","14"
"1756.938144795","15","15","15"
"1771.938596313","14","14","14"
"1786.938442624","15","15","15"
"1801.937939727","15","15","15"
"1816.938164322","13","13","13"
"1831.938070336","15","15","15"
"1846.938504087","14","14","14"
"1861.938997921","19","19","19"
"1876.938559602","15","15","15"
"1891.938692705","18","18","18"
"1906.93806555","15","15","15"
"1921.938624915","14","14","14"
"1936.938641642","15","15","15"
"1951.939001489","14","14","14"
"1966.938227388","15","15","15"
"1981.93872923","13","13","13"
"1996.938560442","15","15","15"
"2011.938399727","15","15","15"
